Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control (0 to 1)	Pump Control ()				
0.555643042	-229.0589142	14.63696671	0.695292707	1.39230542				
0.555643111	-232.8101196	300.6347046	0.695292707	1.39230542				
0.555643181	-233.7194824	345.4971008	0.695292707	1.39230542				
0.55564325	-245.0185547	88.80943298	0.695292707	1.39230542				
0.55564332	-270.5948792	417.0526123	0.695292707	1.39230542				
0.555643389	-306.9701233	319.4769287	0.695292707	1.39230542				
0.555643458	-332.3645935	275.736084	0.695292707	1.39230542				
0.555643528	-353.5303955	269.6048584	0.694071608	1.390585414				
0.555643597	-372.900238	209.4892883	0.694071608	1.390585414				
0.555643667	-381.4256592	235.6590118	0.694071608	1.390585414				
0.555643736	-379.7887573	281.5682068	0.694071608	1.390585414				
0.555643805	-375.4919739	251.0617218	0.694071608	1.390585414				
0.555643875	-362.965271	246.7998352	0.694071608	1.390585414				
0.555643944	-348.0741272	197.4512024	0.696863097	1.388143216				
0.555644014	-325.5669556	-22.37451744	0.696863097	1.388143216				
0.555644083	-313.6313171	-19.0098381	0.696863097	1.388143216				
0.555644152	-316.9960327	-72.02223206	0.697206161	1.393726195				
0.555644222	-320.1106873	-78.45250702	0.697206161	1.393726195				
0.555644291	-324.5439148	-77.33094788	0.697206161	1.393726195				
0.555644361	-326.6874695	-89.66810608	0.697206161	1.393726195				
0.55564443	-330.341217	-139.0167389	0.697206161	1.393726195				
0.555644499	-339.8897095	-124.4364548	0.697206161	1.393726195				
0.555644569	-341.935791	-79.27498627	0.69896242	1.394412322				
0.555644638	-338.5256653	-84.43415833	0.69896242	1.394412322				
0.555644708	-336.4795227	-79.57406616	0.69896242	1.394412322				
0.555644777	-325.9079895	-79.57406616	0.69896242	1.394412322				
0.555644846	-320.1106567	-84.06030273	0.69896242	1.394412322				
0.555644916	-308.5160828	-78.45250702	0.69896242	1.394412322				
0.555644985	-303.0597839	-79.57406616	0.69896242	1.394412322				
0.555645055	-304.1315613	-62.27000046	0.700814442	1.39792484				
0.555645124	-300.1043091	-69.10617828	0.700814442	1.39792484				
0.555645194	-305.4468994	-70.60158539	0.70122313	1.401628884				
0.555645263	-306.8109741	-70.60158539	0.70122313	1.401628884				
0.555645332	-313.9723511	-77.33094788	0.70122313	1.401628884				
0.555645402	-313.9723511	-76.20938873	0.70122313	1.401628884				
0.555645471	-319.0876465	-67.23690796	0.70122313	1.401628884				
0.555645541	-312.2672424	-64.99378967	0.70122313	1.401628884				
0.55564561	-305.1058655	-66.11534882	0.70122313	1.401628884				
0.555645679	-305.5378418	-59.2364502	0.703121917	1.40244626				
0.555645749	-304.7648926	-58.264431	0.703121917	1.40244626				
0.555645818	-299.5813904	-66.7882843	0.703657257	1.406243833				
0.555645887	-296.9214783	-57.14287186	0.703657257	1.406243833				
0.555645957	-292.8292542	-45.9272728	0.703657257	1.406243833				
0.555646026	-291.8062134	-27.98231888	0.703657257	1.406243833				
0.555646096	-289.7601013	-29.10387611	0.703657257	1.406243833				
0.555646165	-293.1702576	-35.83323669	0.703657257	1.406243833				
0.555646235	-288.3960266	-24.61763573	0.703657257	1.406243833				
0.555646304	-292.4882507	-49.29195023	0.705175506	1.407314515				
0.555646373	-293.4354858	-38.2009697	0.705594701	1.410351011				
0.555646443	-293.8522949	-23.49607849	0.705594701	1.410351011				
0.555646512	-297.2624817	-15.64515495	0.705594701	1.410351011				
0.555646582	-292.8292542	-31.34699821	0.705594701	1.410351011				
0.555646651	-283.9627686	-35.83323669	0.705594701	1.410351011				
0.55564672	-279.1885071	-29.10387611	0.705594701	1.410351011				
0.55564679	-280.8935852	-25.73920059	0.705594701	1.410351011				
0.555646859	-282.5305176	-22.37451363	0.707390091	1.411189403				
0.555646929	-274.4597473	-38.45020676	0.707390091	1.411189403				
0.555646998	-274.4142761	-29.10387993	0.707762169	1.414780182				
0.555647067	-276.1193542	-5.551125526	0.707762169	1.414780182				
0.555647137	-272.3681641	-24.61763954	0.707762169	1.414780182				
0.555647206	-274.0732727	-12.28048038	0.707762169	1.414780182				
0.555647276	-280.2115784	-12.28047562	0.707762169	1.414780182				
0.555647345	-278.5065002	-23.49607849	0.707762169	1.414780182				
0.555647414	-276.4603882	-23.49607468	0.707762169	1.414780182				
0.555647484	-276.8013916	-35.83323669	0.709471247	1.415524339				
0.555647553	-273.0502319	-29.10387611	0.709471247	1.415524339				
0.555647623	-267.2528992	-38.0763588	0.70984343	1.418942495				
0.555647692	-265.2067871	-25.73920059	0.70984343	1.418942495				
0.555647761	-261.4555969	-25.73919678	0.70984343	1.418942495				
0.555647831	-258.3864441	-15.64515877	0.70984343	1.418942495				
0.5556479	-261.1145935	-13.40203667	0.70984343	1.418942495				
0.55564797	-259.7504883	-14.52359772	0.70984343	1.418942495				
0.555648039	-264.8657837	-10.0373621	0.70984343	1.418942495				
0.555648108	-265.9570313	-13.62634563	0.707425642	1.41968686				
0.555648178	-257.0223694	-10.0373621	0.70617471	1.414851284				
0.555648247	-254.6352539	-8.915804863	0.70617471	1.414851284				
0.555648317	-259.0684814	-14.52359772	0.70617471	1.414851284				
0.555648386	-254.9762573	-24.61763954	0.70617471	1.414851284				
0.555648455	-251.9071198	-15.64515877	0.70617471	1.414851284				
0.555648525	-251.6797638	-13.77589226	0.70617471	1.414851284				
0.555648594	-249.519989	-23.49607849	0.70617471	1.414851284				
0.555648664	-253.9532166	-15.64516354	0.702812239	1.41234942				
0.555648733	-250.5430603	-11.15892315	0.702812239	1.41234942				
0.555648802	-244.4047089	1.178241253	0.702018977	1.405624478				
0.555648872	-242.3585968	-2.186442137	0.702018977	1.405624478				
0.555648941	-244.4047089	0.056680128	0.702018977	1.405624478				
0.555649011	-244.7457428	-10.0373621	0.702018977	1.405624478				
0.55564908	-244.0637054	-23.49607849	0.702018977	1.405624478				
0.555649149	-242.0176086	-15.64515495	0.702018977	1.405624478				
0.555649219	-238.6074066	-17.88827705	0.702018977	1.405624478				
0.555649288	-232.1280518	-13.40204144	0.69805884	1.404037954				
0.555649358	-235.5382538	-12.28048038	0.69805884	1.404037954				
0.555649427	-238.2664032	0.056680128	0.69805884	1.404037954				
0.555649496	-237.9253693	4.542916298	0.69805884	1.404037954				
0.555649566	-238.9484406	9.02915287	0.69805884	1.404037954				
0.555649635	-238.2664032	10.15071392	0.69805884	1.404037954				
0.555649705	-233.9468384	32.58191299	0.69805884	1.404037954				
0.555649774	-230.7639923	15.75851154	0.695105418	1.39611768				
0.555649843	-227.3538513	37.06814957	0.695105418	1.39611768				
0.555649913	-227.0128021	70.71494293	0.694017207	1.390210837				
0.555649982	-224.6256866	1058.809204	0.694017207	1.390210837				
0.555650052	-224.6257019	-169.2988434	0.694017207	1.390210837				
0.555650121	-225.307724	292.7838135	0.694017207	1.390210837				
0.55565019	-232.4690857	258.0154114	0.694017207	1.390210837				
0.55565026	-250.543045	92.02456665	0.694017207	1.390210837				
0.555650329	-271.6861267	33.70346451	0.691110604	1.388034414				
0.555650399	-304.4238586	370.1713867	0.691110604	1.388034414				
0.555650468	-330.0002136	301.7562561	0.691387373	1.382221209				
0.555650537	-354.2124023	274.8388367	0.691387373	1.382221209				
0.555650607	-366.8301392	180.6278076	0.691387373	1.382221209				
0.555650676	-369.5582581	283.8112793	0.691387373	1.382221209				
0.555650746	-364.7839966	297.269989	0.691387373	1.382221209				
0.555650815	-361.0328064	266.987915	0.691387373	1.382221209				
