Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control ()	Pump Control ()
0.5138520107	-326.6507873535	184.1421203613	0.2326165391	0.7503880291
0.5139098744	-275.6058959961	203.0507659912	0.0849257817	0.0000000000
0.5139677421	-172.5307159424	187.0965270996	0.0000000000	0.1029076440
0.5140256351	-205.4476928711	195.8057861328	0.7285593911	5.0875005276
0.5140835039	-234.6490478516	185.8131713867	0.6388788526	4.6942940046
0.5141413807	-300.0108947754	199.1238403320	0.1517920044	0.0000000000
0.5141992513	-238.9028778076	200.1058349609	0.9983012120	4.1115336086
0.5142571241	-361.3858337402	192.8066558838	0.8035384616	5.0119638360
0.5143149675	-372.1749572754	199.0032653809	0.4816913235	3.4439592999
0.5143728649	-430.3545837402	200.2531738281	0.2343101188	0.4484978505
0.5144307044	-428.4173889160	208.5441131592	0.0727609913	0.2925288533
0.5144885786	-255.8843994141	188.7398071289	0.0000000000	0.0000000000
0.5145464708	-149.7167358398	168.9141387939	0.8721402077	5.5942885899
0.5146043275	-203.5377502441	191.9424133301	0.0000000000	0.0000000000
0.5146622036	-117.8271484375	161.3134765625	0.0000000000	0.0000000000
0.5147201014	-158.8007659912	185.8137817383	0.0038347709	0.0000000000
0.5147779329	-172.7291107178	172.4274597168	0.0431142473	0.2365509398
0.5148358066	-170.9862365723	181.7458190918	1.0000000000	4.3475551790
0.5148936907	-232.5311126709	188.5554656982	0.0194207194	0.0000000000
0.5149515518	-327.7702636719	184.3430938721	0.6887639812	2.2026892573
0.5150094389	-413.4323425293	194.2603912354	0.7798653775	3.5459432909
0.5150672914	-429.6611633301	192.4206695557	0.1496212632	0.4149946868
0.5151251563	-470.7353820801	193.3807373047	0.1334447002	0.2812801299
0.5151830544	-450.9474792480	207.4263916016	0.8778287820	5.1186234767
0.5152409236	-457.4410400391	196.4120178223	0.4323498318	1.4654726613
0.5152987733	-320.6075439453	210.9619293213	0.3770367579	4.4397851760
0.5153566544	-204.5028991699	188.1220550537	0.8230302641	4.9744383403
0.5154145355	-246.1719818115	196.7696685791	0.2579377048	2.1112966438
0.5154723971	-216.9671325684	208.8156738281	0.1515193297	0.9791975746
0.5155302737	-371.2890625000	184.9559020996	0.0000000000	0.7311172326
0.5155881537	-284.3224487305	194.0784149170	0.0000000000	0.0000000000
0.5156460361	-204.9078979492	194.6434478760	0.0863258900	1.0201351309
0.5157039086	-200.4165039063	174.5404052734	0.0000000000	0.1189771394
0.5157617529	-250.9549560547	204.8141784668	0.0679344047	0.0000000000
0.5158196331	-239.0366210938	205.9721832275	0.0993818705	0.0000000000
0.5158775072	-161.9419403076	209.1096038818	0.0258718070	0.0000000000
0.5159353815	-165.9541015625	203.5913238525	0.0974324414	0.4251997614
0.5159932376	-166.9135894775	197.8193359375	0.0779886584	0.1534500663
0.5160511260	-167.7820739746	195.9780273438	0.0895054144	0.5413305217
0.5161089999	-168.7299652100	195.4802093506	0.0790246509	0.4083281567
0.5161668788	-169.2289886475	194.8970642090	0.0000000000	0.0000000000
0.5162247559	-169.8568572998	195.2806243896	0.0116979568	0.0000000000
0.5162826054	-170.3339843750	194.3177795410	0.0056262549	0.0684260127
0.5163404832	-171.0216827393	195.0234832764	0.0313617011	0.2650062384
0.5163983532	-171.4019317627	194.5637512207	0.0986140669	0.3325907938
0.5164562139	-172.0135040283	194.3470764160	0.0531101748	0.0000000000
0.5165140939	-172.6312713623	195.0922393799	0.0000000000	0.0158451938
0.5165719558	-172.8747863770	193.5779266357	0.0338169211	0.0520596267
0.5166298312	-173.2513275146	194.3364715576	0.1076780982	0.0000000000
0.5166877072	-173.7820129395	194.1291046143	0.0000000000	0.0945673882
0.5167455905	-174.2107849121	194.6831817627	0.0000000000	0.2105467660
0.5168034625	-174.7714080811	194.5414733887	0.0000000000	0.0000000000
0.5168613309	-174.9627380371	194.0067291260	0.0531555868	0.0000000000
0.5169192157	-175.5147247314	194.0854339600	0.0000000000	0.0538668784
