Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control (0 to 1)	Pump Control ()
0.6675630388	-353.8397521973	0.3382762074	0.1416445870	0.8493632669
0.6675631082	-349.2928771973	12.9662113190	0.1437274219	0.8498675219
0.6675631776	-349.5959777832	7.3168716431	0.1437064982	0.8623645311
0.6675632470	-352.8924865723	6.6937837601	0.1437064982	0.8623645311
0.6675633164	-346.4131469727	5.5722227097	0.1437064982	0.8623645311
0.6675633858	-341.6388854980	1.0859863758	0.1437064982	0.8623645311
0.6675634552	-346.4131469727	8.9369058609	0.1437064982	0.8623645311
0.6675635246	-344.1396789551	-4.6464295387	0.1437064982	0.8623645311
0.6675635940	-346.8678588867	-4.6464295387	0.1437064982	0.8623645311
0.6675636634	-345.3521728516	-7.6372575760	0.1437064982	0.8623645311
0.6675637328	-339.9338073730	-0.0355706774	0.1387593792	0.8622389895
0.6675638022	-335.9552612305	3.3291044235	0.1382481954	0.8325562752
0.6675638716	-338.6834106445	4.3260431290	0.1382481954	0.8325562752
0.6675639410	-336.5615234375	-8.6342000961	0.1382481954	0.8325562752
0.6675640104	-338.9865417480	-2.6525480747	0.1382481954	0.8325562752
0.6675640798	-334.8185424805	3.3291044235	0.1382481954	0.8325562752
0.6675641492	-332.9239807129	4.3260474205	0.1382481954	0.8325562752
0.6675642186	-333.1134643555	12.3015813828	0.1382481954	0.8325562752
0.6675642880	-329.0212402344	-16.8589706421	0.1382481954	0.8325562752
0.6675643574	-328.6802368164	-3.6494908333	0.1324089932	0.7974717244
0.6675644268	-324.1105651855	2.9552536011	0.1324089932	0.7974717244
0.6675644962	-330.8172607422	-2.2786929607	0.1324089932	0.7974717244
0.6675645656	-340.0474548340	3.9272725582	0.1324089932	0.7974717244
0.6675646350	-351.9376525879	11.7781877518	0.1324089932	0.7974717244
0.6675647044	-372.0349426270	9.3855276108	0.1324089932	0.7974717244
0.6675647738	-389.4673156738	4.7912878990	0.1324089932	0.7974717244
0.6675648432	-394.6785278320	1.0859863758	0.1324089932	0.7974717244
0.6675649126	-399.7938232422	-13.8681468964	0.1310414585	0.7944539591
0.6675649820	-407.1598205566	7.5162606239	0.1313224187	0.7862487511
0.6675650514	-401.5115356445	12.3680448532	0.1313224187	0.7862487511
0.6675651208	-400.7234191895	8.3138103485	0.1313224187	0.7862487511
0.6675651902	-397.7931823730	18.2832336426	0.1313224187	0.7862487511
0.6675652596	-395.0650329590	0.3382802904	0.1313224187	0.7862487511
0.6675653290	-396.5806884766	-7.6372575760	0.1313224187	0.7862487511
0.6675653984	-392.0337524414	-5.6433720589	0.1313224187	0.7862487511
0.6675654678	-389.0403747559	-9.0080518723	0.1313224187	0.7862487511
0.6675655603	-383.2203369141	-6.9892463684	0.1341789539	0.8043307249
0.6675656066	-385.9509887695	-0.8580477238	0.1341789539	0.8043307249
0.6675656760	-384.2660827637	6.6937837601	0.1341789539	0.8043307249
0.6675657454	-385.0617980957	-6.6403150558	0.1341789539	0.8043307249
0.6675658148	-386.9942626953	-10.1296167374	0.1341789539	0.8043307249
0.6675658842	-380.2117919922	-3.6494908333	0.1341789539	0.8043307249
0.6675659536	-380.5148925781	-1.6556051970	0.1341789539	0.8043307249
0.6675660230	-375.0586547852	9.3107566833	0.1341789539	0.8043307249
0.6675661155	-378.1277770996	3.3291044235	0.1366874369	0.8050737231
0.6675661618	-374.3715820313	-2.5196244717	0.1368212320	0.8201246213
0.6675662312	-375.3087158203	-3.1011741161	0.1368212320	0.8201246213
0.6675663006	-375.0586547852	1.0859822035	0.1368212320	0.8201246213
0.6675663700	-373.6945800781	-10.1296129227	0.1368212320	0.8201246213
0.6675664394	-369.9433898926	-7.8864946365	0.1368212320	0.8201246213
0.6675665088	-369.2613525391	5.5722265244	0.1368212320	0.8201246213
0.6675665782	-366.2680053711	1.3352230787	0.1368212320	0.8201246213
