Day fraction since midnight on 	air chamber (200kPa) (cm)	waste (100 psi) (cm)	PID control ()	Pump Control ()
0.5237988605	-162.1057434082	202.8881988525	0.0250374972	0.0000000000
0.5237989762	-159.0744781494	215.4995117188	0.1143015602	0.2078347451
0.5237990918	-159.8322906494	204.3836059570	0.1143015602	0.2078347451
0.5237992075	-153.0119476318	211.8606872559	0.1143015602	0.2078347451
0.5237993232	-156.4221191406	216.3469238281	0.1143015602	0.2078347451
0.5237994389	-158.2408752441	217.0946197510	0.1143015602	0.2078347451
0.5237995546	-163.2424774170	202.1405029297	0.0703913926	0.6858093609
0.5237996703	-159.8322906494	202.1405029297	0.0136391738	0.4223483557
0.5237997859	-161.6510467529	215.5992126465	0.0136391738	0.4223483557
0.5237999016	-160.0596466064	217.8423309326	0.0136391738	0.4223483557
0.5238000172	-160.5143280029	223.8240051270	0.0136391738	0.4223483557
0.5238001329	-157.8922729492	212.6083831787	0.0178842777	0.0818350427
0.5238002486	-165.0460662842	223.4750823975	0.0178842777	0.0818350427
0.5238003642	-162.2724609375	214.3031921387	0.0178842777	0.0818350427
0.5238004799	-159.3169860840	202.5891113281	0.0178842777	0.0818350427
0.5238005956	-158.0135192871	202.1405029297	0.0101974755	0.1073056660
0.5238007113	-159.1502380371	199.1496582031	0.0101974755	0.1073056660
0.5238008270	-155.3728485107	211.6881408691	0.0000000000	0.0611848531
0.5238009428	-157.6621704102	224.2997894287	0.0000000000	0.0611848531
0.5238010583	-158.0135192871	214.1038055420	0.0000000000	0.0611848531
0.5238011739	-160.0921020508	205.9858551025	0.0717514724	0.0000000000
0.5238012896	-162.3280944824	225.1304168701	0.0717514724	0.0000000000
0.5238014053	-157.7710418701	210.5148010254	0.0893189486	0.4305088341
0.5238015210	-157.1799316406	196.9065399170	0.0893189486	0.4305088341
0.5238016366	-163.0151214600	212.6083831787	0.0893189486	0.4305088341
0.5238017523	-161.4237213135	208.1221618652	0.0893189486	0.4305088341
0.5238018684	-160.5325317383	220.9826965332	0.0216204029	0.5359136914
0.5238019840	-159.1805572510	216.6459808350	0.0368399744	0.1297224171
0.5238020997	-159.8078155518	222.3170623779	0.0368399744	0.1297224171
0.5238022154	-160.7416839600	214.8515014648	0.0368399744	0.1297224171
0.5238023310	-157.7861785889	209.6175689697	0.0368399744	0.1297224171
0.5238024469	-156.5520172119	214.8301544189	0.0018313074	0.2210398462
0.5238025626	-155.3028869629	215.1390991211	0.0018313074	0.2210398462
0.5238026783	-153.5575561523	199.9970855713	0.0000000000	0.0109878446
0.5238027940	-157.1041564941	202.8881988525	0.0000000000	0.0109878446
0.5238029096	-157.7861938477	223.0762939453	0.0000000000	0.0109878446
0.5238030254	-159.2821502686	205.9299621582	0.0186625105	0.0000000000
0.5238031411	-158.4379119873	208.4710998535	0.0186625105	0.0000000000
0.5238032567	-154.1486816406	202.1405029297	0.0000000000	0.1119750627
0.5238033723	-153.9213104248	202.8881988525	0.0000000000	0.1119750627
0.5238034880	-156.8768157959	210.3652648926	0.0000000000	0.1119750627
0.5238036037	-160.8291168213	209.5189666748	0.0000000000	0.1119750627
0.5238037193	-157.5588378906	208.1221618652	0.0000000000	0.0000000000
0.5238038350	-159.1047821045	217.6928100586	0.0970142722	0.0000000000
0.5238039511	-154.8513641357	217.2305603027	0.0970142722	0.0000000000
0.5238040668	-151.4205169678	212.6083831787	0.0970142722	0.0000000000
0.5238041824	-155.0580444336	217.0946350098	0.0970142722	0.0000000000
0.5238042984	-155.1307983398	203.5760803223	0.0000000000	0.5820856332
0.5238044140	-154.8831481934	207.3169250488	0.0000000000	0.5820856332
0.5238045297	-156.4069671631	218.4903259277	0.0000000000	0.0000000000
0.5238046454	-162.1057434082	215.5992126465	0.0000000000	0.0000000000
0.5238047611	-160.2869873047	220.0854492188	0.0000000000	0.0000000000
0.5238048767	-157.5588378906	202.1405029297	0.0685043118	0.0000000000
0.5238049924	-158.4682159424	203.6358947754	0.0685043118	0.0000000000
0.5238051125	-156.3129882813	213.2065582275	0.0072706639	0.4110258709
0.5238052282	-156.7858734131	217.0946350098	0.0072706639	0.4110258709
0.5238053439	-159.4100799561	203.4222564697	0.0072706639	0.4110258709
0.5238054599	-161.8784027100	216.1429901123	0.0072706639	0.4110258709
0.5238055755	-157.8316497803	208.9695587158	0.0210811040	0.0436239831
0.5238056912	-156.4220886230	219.4872894287	0.0417316520	0.1264866238
0.5238058069	-158.5906372070	209.7556152344	0.0417316520	0.1264866238
0.5238059225	-156.8768005371	221.5808563232	0.0417316520	0.1264866238
0.5238060382	-163.0908966064	214.6022644043	0.0417316520	0.1264866238
0.5238061546	-159.7322692871	210.8737182617	0.0503626636	0.2503899120
0.5238062709	-163.5152740479	219.4872894287	0.0503626636	0.2503899120
0.5238063866	-159.9990081787	214.6520996094	0.0000000000	0.3021759817
0.5238065026	-158.3318176270	216.7955474854	0.0000000000	0.3021759817
0.5238066183	-163.1212158203	220.8331756592	0.0000000000	0.3021759817
0.5238067339	-163.7426300049	210.8139038086	0.0584151668	0.0000000000
0.5238068495	-165.9403076172	216.2970886230	0.0584151668	0.0000000000
0.5238069652	-163.2879180908	208.5707702637	0.1111870777	0.3504910006
0.5238070809	-164.1518554688	201.1435394287	0.1111870777	0.3504910006
0.5238071965	-161.8784027100	205.1313323975	0.1111870777	0.3504910006
0.5238073122	-163.6971435547	201.3927764893	0.1111870777	0.3504910006
0.5238074285	-165.4795532227	220.3247070313	0.0000000000	0.6671224661
0.5238075443	-165.7432708740	226.8147888184	0.0000000000	0.6671224661
0.5238076604	-161.7792053223	199.9925231934	0.0970912168	0.0000000000
0.5238077761	-161.9238739014	214.2035064697	0.0970912168	0.0000000000
0.5238078923	-159.9687042236	206.9258117676	0.0970912168	0.0000000000
0.5238080078	-165.5159301758	217.8423309326	0.0840927705	0.5825473005
0.5238081235	-159.0103607178	206.6267395020	0.0840927705	0.5825473005
0.5238082207	-160.9690246582	205.5935211182	0.0501634859	0.5045566231
0.5238083362	-160.5912628174	216.9335937500	0.0501634859	0.5045566231
0.5238084519	-163.7531127930	208.0991363525	0.0501634859	0.5045566231
0.5238085676	-159.5559844971	206.9948425293	0.0924737086	0.3009809153
0.5238087072	-164.0609130859	224.8707733154	0.0924737086	0.3009809153
0.5238087997	-167.1248474121	222.7311859131	0.0033746740	0.5548422515
0.5238089385	-165.8948516846	189.9279479980	0.0033746740	0.5548422515
0.5238090310	-166.0755310059	207.5469970703	0.0033746740	0.5548422515
0.5238091467	-165.8656921387	215.1390991211	0.0033746740	0.5548422515
0.5238092624	-167.5445251465	216.5194854736	0.0190176078	0.0202480441
0.5238094012	-166.4253082275	205.8790130615	0.0190176078	0.0202480441
0.5238094941	-166.0946197510	223.4841308594	0.0110311288	0.1141056467
0.5238096098	-165.0262603760	220.6606292725	0.0110311288	0.1141056467
0.5238097254	-167.3346862793	219.9704437256	0.0110311288	0.1141056467
0.5238098411	-165.8656921387	202.7156677246	0.0000000000	0.0661867730
0.5238099568	-165.9356536865	205.4764099121	0.0000000000	0.0661867730
0.5238100725	-164.3826904297	221.8109283447	0.0473528049	0.0000000000
0.5238102112	-167.4559326172	211.8606872559	0.0473528049	0.0000000000
0.5238103274	-167.7530059814	195.2615814209	0.0473528049	0.0000000000
0.5238104200	-169.4332427979	210.3077545166	0.0000000000	0.2841168294
0.5238105588	-167.3346862793	207.3744354248	0.0000000000	0.2841168294
0.5238106513	-162.2980957031	199.9548645020	0.1018283523	0.0000000000
0.5238107670	-162.4380187988	202.9457244873	0.1018283523	0.0000000000
0.5238108827	-165.6558227539	202.0254669189	0.1018283523	0.0000000000
0.5238109984	-164.8545379639	212.8802642822	0.1018283523	0.0000000000
0.5238111140	-166.1035156250	212.2862854004	0.1176093322	0.6109701136
0.5238112297	-167.7963714600	204.5101470947	0.1176093322	0.6109701136
0.5238113453	-166.4812622070	196.0898284912	0.1279418238	0.7056559934
0.5238114610	-165.7117919922	209.2034454346	0.1279418238	0.7056559934
0.5238115766	-166.4952545166	214.9090270996	0.1279418238	0.7056559934
0.5238117162	-164.2427978516	211.7111511230	0.0618768832	0.7676509426
0.5238118087	-165.8656768799	202.7156524658	0.0618768832	0.7676509426
0.5238119244	-167.9642639160	211.6881408691	0.0618768832	0.7676509426
0.5238120401	-167.1248321533	197.1941223145	0.0618768832	0.7676509426
0.5238121557	-166.0755462646	199.2646942139	0.0618768832	0.7676509426
0.5238122945	-163.4698181152	220.8331756592	0.0000000000	0.3712612994
0.5238123871	-167.1248321533	213.4826354980	0.0531124944	0.0000000000
0.5238125031	-165.6151275635	201.2976379395	0.0531124944	0.0000000000
0.5238126188	-163.5572509766	206.8568115234	0.0531124944	0.0000000000
0.5238127577	-165.6977996826	220.3845367432	0.0531124944	0.0000000000
0.5238128732	-160.7719879150	205.6796417236	0.0000000000	0.3186749665
0.5238129657	-160.7172088623	207.8230590820	0.0039959000	0.0000000000
0.5238130814	-164.1308746338	221.0747222900	0.0039959000	0.0000000000
0.5238131971	-163.5292663574	224.3876495361	0.0039959000	0.0000000000
0.5238133128	-159.6678924561	210.7678833008	0.0039959000	0.0000000000
0.5238134284	-161.8783874512	214.4488983154	0.0039959000	0.0000000000
0.5238135441	-158.8319702148	211.7111358643	0.0250857968	0.0000000000
0.5238136597	-157.5588531494	202.8882141113	0.0250857968	0.0000000000
0.5238137989	-164.4064788818	213.4458160400	0.0250857968	0.0000000000
0.5238138914	-162.9836578369	211.6421203613	0.0250857968	0.0000000000
0.5238140071	-158.1009674072	215.8292846680	0.0250857968	0.0000000000
0.5238141232	-162.2752075195	200.9713592529	0.0239523357	0.1505147806
0.5238142620	-161.1963653564	207.1252136230	0.0000000000	0.1437140140
0.5238143545	-162.2561340332	206.0745849609	0.0000000000	0.1437140140
0.5238144702	-157.4434204102	198.5285034180	0.0000000000	0.1437140140
0.5238145858	-160.4094085693	208.9273681641	0.0000000000	0.1437140140
0.5238147015	-161.4586944580	206.1666107178	0.0649035178	0.0000000000
0.5238148216	-159.1502532959	209.3456420898	0.0346935540	0.3894211069
0.5238149373	-159.9197387695	206.6267547607	0.0346935540	0.3894211069
0.5238150529	-165.0262603760	208.2371826172	0.0346935540	0.3894211069
0.5238151920	-163.5152740479	206.0285644531	0.0346935540	0.3894211069
0.5238153077	-164.6065521240	212.6083831787	0.0346935540	0.3894211069
0.5238154002	-163.0536041260	210.2157135010	0.0613911531	0.2081613240
0.5238155390	-163.1515350342	208.5707702637	0.0584830269	0.3683469186
0.5238156316	-159.7798309326	210.9979553223	0.0584830269	0.3683469186
0.5238157472	-163.3473968506	217.8998565674	0.0584830269	0.3683469186
0.5238158629	-161.0389709473	210.9979553223	0.0584830269	0.3683469186
0.5238159786	-157.6812438965	208.2371826172	0.0260886937	0.3508981616
0.5238160942	-162.0882568359	208.9273681641	0.0000000000	0.1565321624
0.5238162099	-164.1868286133	207.5470123291	0.0000000000	0.1565321624
0.5238163256	-160.8291168213	205.4764099121	0.0000000000	0.1565321624
0.5238164413	-158.5206909180	204.7862243652	0.0000000000	0.1565321624
0.5238165569	-162.7178344727	206.8568115234	0.0921340133	0.0000000000
0.5238166726	-165.2171325684	208.0366821289	0.0899447827	0.5528040797
0.5238167883	-158.9229125977	203.3866729736	0.0899447827	0.5528040797
0.5238169039	-160.8291015625	209.6175689697	0.0899447827	0.5528040797
0.5238170196	-162.2980957031	207.5469970703	0.0899447827	0.5528040797
0.5238171353	-163.2424774170	215.5991973877	0.0899447827	0.5528040797
0.5238172548	-154.5088806152	203.9077911377	0.1333562761	0.0000000000
0.5238173711	-155.6780700684	209.6175689697	0.1333562761	0.0000000000
0.5238174868	-156.8418121338	199.9548645020	0.1333562761	0.0000000000
0.5238176261	-160.2415008545	218.5900421143	0.1333562761	0.0000000000
0.5238177186	-157.6812591553	210.9979553223	0.1333562761	0.0000000000
0.5238178579	-160.3506317139	210.3353576660	0.0128659267	0.8001376565
0.5238179504	-158.9403991699	210.3077545166	0.0044533029	0.0771955603
0.5238180661	-162.5079803467	202.0254669189	0.0044533029	0.0771955603
0.5238181818	-164.3966827393	204.0960388184	0.0044533029	0.0771955603
0.5238183210	-158.8774566650	214.1037902832	0.0044533029	0.0771955603
0.5238184367	-161.2721405029	215.3499755859	0.1241142979	0.0267198176
0.5238185523	-161.7571411133	211.2126770020	0.0339196076	0.7446857874
0.5238186449	-161.8084564209	207.3169250488	0.0339196076	0.7446857874
0.5238187841	-160.7871398926	215.0010375977	0.0339196076	0.7446857874
0.5238188767	-158.9403991699	206.1666107178	0.0339196076	0.7446857874
0.5238190155	-160.5143280029	209.6175689697	0.0339196076	0.7446857874
0.5238191080	-161.5985870361	215.1851043701	0.0523749764	0.0000000000
0.5238192237	-163.5572509766	213.7587280273	0.0523749764	0.0000000000
0.5238193393	-162.0882720947	215.1390991211	0.0523749764	0.0000000000
0.5238194550	-159.7798309326	213.0685272217	0.0523749764	0.0000000000
0.5238195707	-162.2980957031	212.3782958984	0.0523749764	0.0000000000
0.5238197095	-161.8783874512	213.3560943604	0.0630283543	0.3142498583
0.5238198256	-162.9696655273	214.1037902832	0.0601460191	0.3781701257
0.5238199181	-162.9276733398	219.9704437256	0.0601460191	0.3781701257
0.5238200338	-164.6065521240	199.2646942139	0.0601460191	0.3781701257
0.5238201495	-160.6192474365	200.6450958252	0.0601460191	0.3781701257
0.5238202654	-162.5755920410	202.6389617920	0.0271480446	0.3608761147
0.5238203811	-157.6253051758	213.5286254883	0.0000000000	0.1628882676
0.5238204967	-158.9403991699	214.4488983154	0.0000000000	0.1628882676
0.5238206124	-161.0389709473	211.6881408691	0.0000000000	0.1628882676
0.5238207281	-159.3601226807	219.2802429199	0.0000000000	0.1628882676
0.5238208437	-159.7098693848	207.7770538330	0.0000000000	0.1628882676
0.5238209597	-159.3982849121	199.8294067383	0.0104457187	0.0000000000
0.5238210989	-156.8768157959	200.9441528320	0.0013200839	0.0626743121
0.5238211914	-160.4094085693	211.6881408691	0.0013200839	0.0626743121
0.5238213071	-161.8783874512	217.8998260498	0.0013200839	0.0626743121
0.5238214228	-159.7798309326	212.3783264160	0.0013200839	0.0626743121
0.5238215619	-163.0969696045	209.9764556885	0.0000000000	0.0079205035
0.5238216553	-161.2335662842	215.0010375977	0.0399898571	0.0000000000
0.5238217941	-158.2560272217	195.9594421387	0.0399898571	0.0000000000
0.5238218865	-157.5133666992	204.4181213379	0.0399898571	0.0000000000
0.5238220022	-158.3408050537	216.8152465820	0.0399898571	0.0000000000
0.5238221244	-157.0008087158	219.1338195801	0.0000000000	0.2399391429
0.5238222401	-155.2854003906	212.8576354980	0.0145063263	0.0000000000
0.5238223558	-156.6494598389	223.8240051270	0.0145063263	0.0000000000
0.5238224714	-160.2869873047	198.4019470215	0.0145063263	0.0000000000
0.5238225871	-161.2721405029	195.6603546143	0.0145063263	0.0000000000
0.5238227027	-160.9690246582	208.8698425293	0.0145063263	0.0000000000
0.5238228185	-165.7584228516	210.3154449463	0.0639471945	0.0870379577
0.5238229353	-155.0580596924	215.0010375977	0.0221126691	0.3836831671
0.5238230515	-161.3327789307	202.4395599365	0.0221126691	0.3836831671
0.5238231676	-160.3903198242	207.1705017090	0.0221126691	0.3836831671
0.5238232837	-156.0023956299	213.7587127686	0.0221126691	0.3836831671
0.5238233993	-160.0596160889	210.3652648926	0.0221126691	0.3836831671
0.5238235150	-155.5127258301	198.4019622803	0.0221126691	0.3836831671
0.5238236307	-160.9690246582	211.8606872559	0.0221126691	0.3836831671
0.5238237466	-156.8768005371	220.3845367432	0.0221126691	0.3836831671
0.5238238620	-159.8322906494	216.3468933105	0.0000000000	0.4540959021
0.5238239777	-159.3776092529	205.1313171387	0.0000000000	0.4540959021
0.5238240934	-156.6494598389	208.8698425293	0.0000000000	0.4540959021
0.5238242090	-158.6955413818	211.8606872559	0.0000000000	0.4540959021
0.5238243247	-163.4698181152	213.3560943604	0.0000000000	0.4540959021
0.5238244410	-155.9426116943	216.4148864746	0.1302205782	0.0000000000
0.5238245565	-156.3463439941	216.5961608887	0.1302205782	0.0000000000
0.5238246722	-154.6033477783	200.6450958252	0.1302205782	0.0000000000
0.5238247879	-157.1041412354	211.8607025146	0.1302205782	0.0000000000
0.5238249035	-159.6807250977	206.6267089844	0.1302205782	0.0000000000
0.5238250192	-159.1351013184	215.0010375977	0.0000000000	0.7813234695
0.5238251352	-159.5139923096	207.5239715576	0.0101684621	0.0000000000
0.5238252514	-159.1502380371	207.9861907959	0.0101684621	0.0000000000
0.5238253670	-160.5143280029	215.5992126465	0.0101684621	0.0000000000
0.5238254827	-163.0151214600	214.8515014648	0.0101684621	0.0000000000
0.5238255984	-163.2424621582	214.1038055420	0.0101684621	0.0000000000
0.5238257145	-162.4901580811	197.2192077637	0.0993627100	0.4041334002
0.5238258302	-163.0151062012	202.1405029297	0.0993627100	0.4041334002
0.5238259459	-162.3330841064	208.1221466064	0.0993627100	0.4041334002
0.5238260615	-161.8783874512	205.8790130615	0.0993627100	0.4041334002
0.5238261775	-159.6108551025	201.2277069092	0.0993627100	0.4041334002
0.5238262931	-159.5443115234	215.0010528564	0.0616432667	0.6513700024
0.5238264088	-161.2115325928	208.0224609375	0.0616432667	0.6513700024
0.5238265245	-163.9245147705	220.8331756592	0.0616432667	0.6513700024
0.5238266402	-162.3330993652	203.6359100342	0.0616432667	0.6513700024
0.5238267558	-165.9056701660	210.2584381104	0.0616432667	0.6513700024
0.5238268716	-168.1531372070	214.8216247559	0.0343205998	0.3698596004
0.5238269874	-167.9166870117	211.7111358643	0.0601470353	0.2059235990
